participant_code,study_version,submission_number,age,freek_familiarity,item_id,topic_id,condition_code,pipeline_family,display_position,funniness,coherence,freek_similarity,comment
P02,acl-1,1,39,3,T10-C2,T10,C2,script_opposition,2,2,3,2,
P02,acl-1,1,39,3,T11-E2,T11,E2,validated_gtvh,19,3,4,2,
P02,acl-1,1,39,3,T12-E1,T12,E1,validated_gtvh,11,3,4,4,
P02,acl-1,1,39,3,T13-A1,T13,A1,baseline,15,3,4,2,
P02,acl-1,1,39,3,T14-A1,T14,A1,baseline,10,4,4,3,
P02,acl-1,1,39,3,T15-E2,T15,E2,validated_gtvh,20,2,3,2,
P02,acl-1,1,39,3,T16-C1,T16,C1,script_opposition,6,2,3,2,
P02,acl-1,1,39,3,T17-E2,T17,E2,validated_gtvh,5,3,4,3,
P02,acl-1,1,39,3,T18-C2,T18,C2,script_opposition,14,3,4,3,
P02,acl-1,1,39,3,T19-E1,T19,E1,validated_gtvh,18,3,4,2,
P02,acl-1,1,39,3,T20-A2,T20,A2,baseline,7,4,4,3,
P03,acl-1,1,26,2,T01-A2,T01,A2,baseline,13,2,5,3,
P03,acl-1,1,26,2,T02-C2,T02,C2,script_opposition,3,3,3,3,
P03,acl-1,1,26,2,T03-A2,T03,A2,baseline,4,3,4,2,
P03,acl-1,1,26,2,T04-C1,T04,C1,script_opposition,17,1,2,2,
P03,acl-1,1,26,2,T05-E1,T05,E1,validated_gtvh,12,2,4,3,
P03,acl-1,1,26,2,T06-C1,T06,C1,script_opposition,1,1,2,2,tape-markering is te vergezocht
P03,acl-1,1,26,2,T07-E2,T07,E2,validated_gtvh,16,2,4,3,
P03,acl-1,1,26,2,T08-C1,T08,C1,script_opposition,8,2,2,2,
P03,acl-1,1,26,2,T09-A1,T09,A1,baseline,9,2,3,2,
P03,acl-1,1,26,2,T10-C2,T10,C2,script_opposition,2,4,4,4,
P03,acl-1,1,26,2,T11-E2,T11,E2,validated_gtvh,19,2,1,1,
P03,acl-1,1,26,2,T12-E1,T12,E1,validated_gtvh,11,2,3,3,
P03,acl-1,1,26,2,T13-A1,T13,A1,baseline,15,3,2,2,
P03,acl-1,1,26,2,T14-A1,T14,A1,baseline,10,1,1,1,
P03,acl-1,1,26,2,T15-E2,T15,E2,validated_gtvh,20,1,2,1,
P03,acl-1,1,26,2,T16-C1,T16,C1,script_opposition,6,1,1,1,
P03,acl-1,1,26,2,T17-E2,T17,E2,validated_gtvh,5,3,1,1,
P03,acl-1,1,26,2,T18-C2,T18,C2,script_opposition,14,2,4,2,
P03,acl-1,1,26,2,T19-E1,T19,E1,validated_gtvh,18,1,2,2,
P03,acl-1,1,26,2,T20-A2,T20,A2,baseline,7,3,3,2,
P04,acl-1,1,23,3,T01-A1,T01,A1,baseline,8,2,3,3,
P04,acl-1,1,23,3,T02-C1,T02,C1,script_opposition,4,2,4,3,
P04,acl-1,1,23,3,T03-A1,T03,A1,baseline,20,3,2,3,
P04,acl-1,1,23,3,T04-A2,T04,A2,baseline,19,4,3,2,
P04,acl-1,1,23,3,T05-C2,T05,C2,script_opposition,3,2,3,2,
P04,acl-1,1,23,3,T06-A2,T06,A2,baseline,2,2,2,2,
P04,acl-1,1,23,3,T07-E1,T07,E1,validated_gtvh,12,2,3,4,
P04,acl-1,1,23,3,T08-A2,T08,A2,baseline,16,3,3,4,
P04,acl-1,1,23,3,T09-E2,T09,E2,validated_gtvh,7,2,2,3,
P04,acl-1,1,23,3,T10-C1,T10,C1,script_opposition,15,2,3,3,
P04,acl-1,1,23,3,T11-E1,T11,E1,validated_gtvh,10,3,2,3,
P04,acl-1,1,23,3,T12-C2,T12,C2,script_opposition,14,2,3,3,
P04,acl-1,1,23,3,T13-E2,T13,E2,validated_gtvh,11,3,3,3,
P04,acl-1,1,23,3,T14-E2,T14,E2,validated_gtvh,5,3,4,4,
P04,acl-1,1,23,3,T15-E1,T15,E1,validated_gtvh,18,2,4,4,
P04,acl-1,1,23,3,T16-A2,T16,A2,baseline,6,2,2,3,
P04,acl-1,1,23,3,T17-E1,T17,E1,validated_gtvh,17,3,3,2,
P04,acl-1,1,23,3,T18-C1,T18,C1,script_opposition,1,3,2,3,
P04,acl-1,1,23,3,T19-C2,T19,C2,script_opposition,13,3,3,3,
P04,acl-1,1,23,3,T20-A1,T20,A1,baseline,9,2,3,3,
P05,acl-1,1,39,4,T01-A1,T01,A1,baseline,8,3,3,3,
P05,acl-1,1,39,4,T02-C1,T02,C1,script_opposition,4,1,1,1,
P05,acl-1,1,39,4,T03-A1,T03,A1,baseline,20,4,4,5,
P05,acl-1,1,39,4,T04-A2,T04,A2,baseline,19,4,4,4,
P05,acl-1,1,39,4,T05-C2,T05,C2,script_opposition,3,1,1,1,
P05,acl-1,1,39,4,T06-A2,T06,A2,baseline,2,1,1,1,
P05,acl-1,1,39,4,T07-E1,T07,E1,validated_gtvh,12,1,1,1,
P05,acl-1,1,39,4,T08-A2,T08,A2,baseline,16,3,3,4,
P05,acl-1,1,39,4,T09-E2,T09,E2,validated_gtvh,7,1,1,1,
P05,acl-1,1,39,4,T10-C1,T10,C1,script_opposition,15,1,1,1,
P05,acl-1,1,39,4,T11-E1,T11,E1,validated_gtvh,10,1,1,1,
P05,acl-1,1,39,4,T12-C2,T12,C2,script_opposition,14,1,2,2,
P05,acl-1,1,39,4,T13-E2,T13,E2,validated_gtvh,11,1,1,1,
P05,acl-1,1,39,4,T14-E2,T14,E2,validated_gtvh,5,1,1,1,
P05,acl-1,1,39,4,T15-E1,T15,E1,validated_gtvh,18,2,2,3,
P05,acl-1,1,39,4,T16-A2,T16,A2,baseline,6,2,3,2,
P05,acl-1,1,39,4,T17-E1,T17,E1,validated_gtvh,17,1,1,1,
P05,acl-1,1,39,4,T18-C1,T18,C1,script_opposition,1,1,1,2,
P05,acl-1,1,39,4,T19-C2,T19,C2,script_opposition,13,1,1,2,
P05,acl-1,1,39,4,T20-A1,T20,A1,baseline,9,3,3,4,
P06,acl-1,1,35,3,T01-A1,T01,A1,baseline,7,2,2,2,
P06,acl-1,1,35,3,T02-C1,T02,C1,script_opposition,11,1,1,1,Dit is compleet onsamenhangend.
P06,acl-1,1,35,3,T03-A1,T03,A1,baseline,1,2,1,2,De insteek over dat god dan ook geld van de pinpas af kan halen als 'afwijzing' is goed maar eigenlijk werkt de grap niet echt.
P06,acl-1,1,35,3,T04-A2,T04,A2,baseline,12,2,3,2,
P06,acl-1,1,35,3,T05-C2,T05,C2,script_opposition,10,1,2,1,
P06,acl-1,1,35,3,T06-A2,T06,A2,baseline,15,2,3,2,"Rust als referentie naar het dood zijn en lui zijn tegelijk, het werkt wel maar is wederom naar mijn mening niet echt grappig."
P06,acl-1,1,35,3,T07-E1,T07,E1,validated_gtvh,19,1,1,1,
P06,acl-1,1,35,3,T08-A2,T08,A2,baseline,16,4,4,2,"Dit is de eerste grap die logisch is en goed werkt, alles is samenhangend en niet compleet onzinnig."
P06,acl-1,1,35,3,T09-E2,T09,E2,validated_gtvh,8,2,3,3,Grap werkt en klinkt logisch maar is naar mijn mening nou niet echt heel leuk.
P06,acl-1,1,35,3,T10-C1,T10,C1,script_opposition,20,2,2,1,
P06,acl-1,1,35,3,T11-E1,T11,E1,validated_gtvh,4,1,3,2,"Misschien dat dit zou werken als videosketch, maar als tekst komt hij niet echt goed aan."
P06,acl-1,1,35,3,T12-C2,T12,C2,script_opposition,13,1,2,2,
P06,acl-1,1,35,3,T13-E2,T13,E2,validated_gtvh,2,1,1,2,Persoonlijk volg ik deze absoluut niet.
P06,acl-1,1,35,3,T14-E2,T14,E2,validated_gtvh,14,1,2,1,
P06,acl-1,1,35,3,T15-E1,T15,E1,validated_gtvh,6,2,3,1,
P06,acl-1,1,35,3,T16-A2,T16,A2,baseline,5,1,1,1,
P06,acl-1,1,35,3,T17-E1,T17,E1,validated_gtvh,18,1,1,1,
P06,acl-1,1,35,3,T18-C1,T18,C1,script_opposition,17,1,1,1,
P06,acl-1,1,35,3,T19-C2,T19,C2,script_opposition,9,1,1,1,
P06,acl-1,1,35,3,T20-A1,T20,A1,baseline,3,3,4,2,"Vriendjespolitiek is herkenbaar, vooral als het door een minister gebracht wordt."
P07,acl-1,1,45,4,T01-E1,T01,E1,validated_gtvh,12,1,1,1,
P07,acl-1,1,45,4,T02-A1,T02,A1,baseline,6,1,1,1,
P07,acl-1,1,45,4,T03-E1,T03,E1,validated_gtvh,1,1,1,2,"Beetje teveel uit het niets, te weinig context"
P07,acl-1,1,45,4,T04-E2,T04,E2,validated_gtvh,14,1,1,1,
P07,acl-1,1,45,4,T05-A2,T05,A2,baseline,19,1,1,1,
P07,acl-1,1,45,4,T06-E2,T06,E2,validated_gtvh,5,1,1,1,"Mist echt een clue, of een veel logischer opbouw."
P07,acl-1,1,45,4,T07-C1,T07,C1,script_opposition,13,1,1,2,
P07,acl-1,1,45,4,T08-E2,T08,E2,validated_gtvh,11,1,1,1,
P07,acl-1,1,45,4,T09-C2,T09,C2,script_opposition,9,1,1,1,
P07,acl-1,1,45,4,T10-A1,T10,A1,baseline,16,1,1,1,
P07,acl-1,1,45,4,T11-C1,T11,C1,script_opposition,3,2,2,1,
P07,acl-1,1,45,4,T12-A2,T12,A2,baseline,20,1,1,2,
P07,acl-1,1,45,4,T13-C2,T13,C2,script_opposition,18,1,1,1,
P07,acl-1,1,45,4,T14-C2,T14,C2,script_opposition,17,1,1,1,Niet meer te volgen nu hoor
P07,acl-1,1,45,4,T15-C1,T15,C1,script_opposition,10,1,1,1,
P07,acl-1,1,45,4,T16-E2,T16,E2,validated_gtvh,8,1,1,1,"Het wordt steeds beroerder, totaal onsamenhangend."
P07,acl-1,1,45,4,T17-C1,T17,C1,script_opposition,2,1,1,1,
P07,acl-1,1,45,4,T18-A1,T18,A1,baseline,4,1,1,1,
P07,acl-1,1,45,4,T19-A2,T19,A2,baseline,15,1,1,1,
P07,acl-1,1,45,4,T20-E1,T20,E1,validated_gtvh,7,1,1,1,
P08,acl-1,1,22,2,T01-E1,T01,E1,validated_gtvh,12,1,1,1,
P08,acl-1,1,22,2,T02-A1,T02,A1,baseline,6,4,4,3,
P08,acl-1,1,22,2,T03-E1,T03,E1,validated_gtvh,1,1,1,1,
P08,acl-1,1,22,2,T04-E2,T04,E2,validated_gtvh,14,1,1,4,
P08,acl-1,1,22,2,T05-A2,T05,A2,baseline,19,3,3,2,
P08,acl-1,1,22,2,T06-E2,T06,E2,validated_gtvh,5,3,2,1,
P08,acl-1,1,22,2,T07-C1,T07,C1,script_opposition,13,4,4,4,
P08,acl-1,1,22,2,T08-E2,T08,E2,validated_gtvh,11,3,3,2,
P08,acl-1,1,22,2,T09-C2,T09,C2,script_opposition,9,3,4,1,
P08,acl-1,1,22,2,T10-A1,T10,A1,baseline,16,3,4,3,
P08,acl-1,1,22,2,T11-C1,T11,C1,script_opposition,3,1,1,1,
P08,acl-1,1,22,2,T12-A2,T12,A2,baseline,20,1,2,1,
P08,acl-1,1,22,2,T13-C2,T13,C2,script_opposition,18,4,3,3,
P08,acl-1,1,22,2,T14-C2,T14,C2,script_opposition,17,3,2,2,
P08,acl-1,1,22,2,T15-C1,T15,C1,script_opposition,10,4,4,2,
P08,acl-1,1,22,2,T16-E2,T16,E2,validated_gtvh,8,1,1,1,
P08,acl-1,1,22,2,T17-C1,T17,C1,script_opposition,2,1,1,1,
P08,acl-1,1,22,2,T18-A1,T18,A1,baseline,4,1,1,2,d
P08,acl-1,1,22,2,T19-A2,T19,A2,baseline,15,3,3,3,
P08,acl-1,1,22,2,T20-E1,T20,E1,validated_gtvh,7,1,1,2,
P09,acl-1,1,25,3,T01-A2,T01,A2,baseline,5,3,3,4,
P09,acl-1,1,25,3,T02-C2,T02,C2,script_opposition,19,3,4,4,
P09,acl-1,1,25,3,T03-A2,T03,A2,baseline,13,4,3,5,
P09,acl-1,1,25,3,T04-C1,T04,C1,script_opposition,18,3,3,4,
P09,acl-1,1,25,3,T05-E1,T05,E1,validated_gtvh,20,2,3,4,
P09,acl-1,1,25,3,T06-C1,T06,C1,script_opposition,14,3,2,3,
P09,acl-1,1,25,3,T07-E2,T07,E2,validated_gtvh,7,2,4,4,
P09,acl-1,1,25,3,T08-C1,T08,C1,script_opposition,8,3,2,3,
P09,acl-1,1,25,3,T09-A1,T09,A1,baseline,11,3,3,3,
P09,acl-1,1,25,3,T10-C2,T10,C2,script_opposition,9,2,2,2,
P09,acl-1,1,25,3,T11-E2,T11,E2,validated_gtvh,1,2,1,1,
P09,acl-1,1,25,3,T12-E1,T12,E1,validated_gtvh,3,4,2,1,
P09,acl-1,1,25,3,T13-A1,T13,A1,baseline,4,3,4,4,
P09,acl-1,1,25,3,T14-A1,T14,A1,baseline,6,4,3,5,
P09,acl-1,1,25,3,T15-E2,T15,E2,validated_gtvh,15,3,3,4,
P09,acl-1,1,25,3,T16-C1,T16,C1,script_opposition,10,1,1,1,
P09,acl-1,1,25,3,T17-E2,T17,E2,validated_gtvh,2,3,2,2,
P09,acl-1,1,25,3,T18-C2,T18,C2,script_opposition,16,1,1,2,
P09,acl-1,1,25,3,T19-E1,T19,E1,validated_gtvh,17,1,1,1,
P09,acl-1,1,25,3,T20-A2,T20,A2,baseline,12,2,1,4,
P29,acl-1,1,34,2,T01-C2,T01,C2,script_opposition,5,1,1,2,
P29,acl-1,1,34,2,T02-E2,T02,E2,validated_gtvh,7,4,4,4,
P29,acl-1,1,34,2,T03-C2,T03,C2,script_opposition,1,1,2,3,
P29,acl-1,1,34,2,T04-E1,T04,E1,validated_gtvh,2,1,1,1,
P29,acl-1,1,34,2,T05-A1,T05,A1,baseline,6,2,2,3,
P29,acl-1,1,34,2,T06-E1,T06,E1,validated_gtvh,20,1,1,1,
P29,acl-1,1,34,2,T07-A2,T07,A2,baseline,4,4,4,4,
P29,acl-1,1,34,2,T08-E1,T08,E1,validated_gtvh,18,1,1,1,
P29,acl-1,1,34,2,T09-C1,T09,C1,script_opposition,15,1,1,1,
P29,acl-1,1,34,2,T10-E2,T10,E2,validated_gtvh,16,1,1,1,
P29,acl-1,1,34,2,T11-A2,T11,A2,baseline,3,3,4,4,
P29,acl-1,1,34,2,T12-A1,T12,A1,baseline,10,3,5,4,
P29,acl-1,1,34,2,T13-C1,T13,C1,script_opposition,9,1,1,1,
P29,acl-1,1,34,2,T14-C1,T14,C1,script_opposition,19,5,2,2,
P29,acl-1,1,34,2,T15-A2,T15,A2,baseline,12,3,5,3,
P29,acl-1,1,34,2,T16-E1,T16,E1,validated_gtvh,17,2,3,2,
P29,acl-1,1,34,2,T17-A2,T17,A2,baseline,11,1,2,3,
P29,acl-1,1,34,2,T18-E2,T18,E2,validated_gtvh,13,1,1,1,
P29,acl-1,1,34,2,T19-A1,T19,A1,baseline,14,4,2,2,
P29,acl-1,1,34,2,T20-C2,T20,C2,script_opposition,8,1,3,1,
P10,acl-1,1,29,1,T01-E2,T01,E2,validated_gtvh,9,1,1,3,
P10,acl-1,1,29,1,T02-A2,T02,A2,baseline,1,1,1,2,
P10,acl-1,1,29,1,T03-E2,T03,E2,validated_gtvh,15,1,1,4,
P10,acl-1,1,29,1,T04-A1,T04,A1,baseline,20,3,2,2,
P10,acl-1,1,29,1,T05-C1,T05,C1,script_opposition,13,4,1,2,
P10,acl-1,1,29,1,T06-A1,T06,A1,baseline,3,1,1,3,
P10,acl-1,1,29,1,T07-C2,T07,C2,script_opposition,16,3,1,2,
P10,acl-1,1,29,1,T08-A1,T08,A1,baseline,8,3,3,3,
P10,acl-1,1,29,1,T09-E1,T09,E1,validated_gtvh,18,1,1,1,
P10,acl-1,1,29,1,T10-A2,T10,A2,baseline,5,1,1,3,
P10,acl-1,1,29,1,T11-C2,T11,C2,script_opposition,12,1,2,1,
P10,acl-1,1,29,1,T12-C1,T12,C1,script_opposition,17,1,2,2,
P10,acl-1,1,29,1,T13-E1,T13,E1,validated_gtvh,7,1,1,3,
P10,acl-1,1,29,1,T14-E1,T14,E1,validated_gtvh,14,1,1,1,
P10,acl-1,1,29,1,T15-C2,T15,C2,script_opposition,4,1,1,3,
P10,acl-1,1,29,1,T16-A1,T16,A1,baseline,2,1,1,3,
P10,acl-1,1,29,1,T17-C2,T17,C2,script_opposition,11,1,1,1,
P10,acl-1,1,29,1,T18-A2,T18,A2,baseline,10,2,1,3,
P10,acl-1,1,29,1,T19-C1,T19,C1,script_opposition,19,1,2,1,
P10,acl-1,1,29,1,T20-E2,T20,E2,validated_gtvh,6,1,2,3,
P30,acl-1,1,25,1,T01-C1,T01,C1,script_opposition,8,2,1,1,
P30,acl-1,1,25,1,T02-E1,T02,E1,validated_gtvh,10,1,1,1,
P30,acl-1,1,25,1,T03-C1,T03,C1,script_opposition,2,1,1,1,
P30,acl-1,1,25,1,T04-C2,T04,C2,script_opposition,14,3,2,3,
P30,acl-1,1,25,1,T05-E2,T05,E2,validated_gtvh,16,2,2,2,
P30,acl-1,1,25,1,T06-C2,T06,C2,script_opposition,6,1,1,1,
P30,acl-1,1,25,1,T07-A1,T07,A1,baseline,19,1,2,2,
P30,acl-1,1,25,1,T08-C2,T08,C2,script_opposition,7,2,3,1,
P30,acl-1,1,25,1,T09-A2,T09,A2,baseline,12,2,3,1,
P30,acl-1,1,25,1,T10-E1,T10,E1,validated_gtvh,1,1,1,1,Ik snap niet eens precies wat er met de tekst bedoeld wordt.
P30,acl-1,1,25,1,T11-A1,T11,A1,baseline,18,2,3,1,
P30,acl-1,1,25,1,T12-E2,T12,E2,validated_gtvh,5,1,2,3,
P30,acl-1,1,25,1,T13-A2,T13,A2,baseline,9,2,2,2,
P30,acl-1,1,25,1,T14-A2,T14,A2,baseline,4,1,3,1,
P30,acl-1,1,25,1,T15-A1,T15,A1,baseline,20,3,3,1,
P30,acl-1,1,25,1,T16-C2,T16,C2,script_opposition,17,3,1,2,
P30,acl-1,1,25,1,T17-A1,T17,A1,baseline,11,2,3,1,
P30,acl-1,1,25,1,T18-E1,T18,E1,validated_gtvh,15,2,3,2,
P30,acl-1,1,25,1,T19-E2,T19,E2,validated_gtvh,13,2,1,2,
P30,acl-1,1,25,1,T20-C1,T20,C1,script_opposition,3,2,3,2,
P11,acl-1,1,34,2,T01-C2,T01,C2,script_opposition,8,2,2,3,
P11,acl-1,1,34,2,T02-E2,T02,E2,validated_gtvh,9,1,2,3,
P11,acl-1,1,34,2,T03-C2,T03,C2,script_opposition,2,1,1,1,
P11,acl-1,1,34,2,T04-E1,T04,E1,validated_gtvh,11,1,1,1,
P11,acl-1,1,34,2,T05-A1,T05,A1,baseline,13,1,2,3,
P11,acl-1,1,34,2,T06-E1,T06,E1,validated_gtvh,19,1,4,2,
P11,acl-1,1,34,2,T07-A2,T07,A2,baseline,5,1,2,2,
P11,acl-1,1,34,2,T08-E1,T08,E1,validated_gtvh,7,1,1,1,
P11,acl-1,1,34,2,T09-C1,T09,C1,script_opposition,1,1,1,3,Te ver gezocht. Benoem dan nog daarvoor indirect iets van een spaaractie
P11,acl-1,1,34,2,T10-E2,T10,E2,validated_gtvh,14,1,1,3,
P11,acl-1,1,34,2,T11-A2,T11,A2,baseline,10,1,1,2,
P11,acl-1,1,34,2,T12-A1,T12,A1,baseline,18,2,2,3,
P11,acl-1,1,34,2,T13-C1,T13,C1,script_opposition,16,1,1,2,
P11,acl-1,1,34,2,T14-C1,T14,C1,script_opposition,6,1,2,2,
P11,acl-1,1,34,2,T15-A2,T15,A2,baseline,12,2,2,3,
P11,acl-1,1,34,2,T16-E1,T16,E1,validated_gtvh,4,1,2,2,
P11,acl-1,1,34,2,T17-A2,T17,A2,baseline,17,1,1,2,
P11,acl-1,1,34,2,T18-E2,T18,E2,validated_gtvh,20,1,1,3,
P11,acl-1,1,34,2,T19-A1,T19,A1,baseline,3,1,3,2,"Logisch, maar vind het niet grappig en ook niet origineel"
P11,acl-1,1,34,2,T20-C2,T20,C2,script_opposition,15,1,1,2,
P12,acl-1,1,28,1,T01-C2,T01,C2,script_opposition,8,3,3,2,
P12,acl-1,1,28,1,T02-E2,T02,E2,validated_gtvh,9,1,1,2,
P12,acl-1,1,28,1,T03-C2,T03,C2,script_opposition,2,1,1,1,
P12,acl-1,1,28,1,T04-E1,T04,E1,validated_gtvh,11,1,1,2,
P12,acl-1,1,28,1,T05-A1,T05,A1,baseline,13,3,3,2,
P12,acl-1,1,28,1,T06-E1,T06,E1,validated_gtvh,19,2,3,1,
P12,acl-1,1,28,1,T07-A2,T07,A2,baseline,5,2,3,2,
P12,acl-1,1,28,1,T08-E1,T08,E1,validated_gtvh,7,1,1,2,
P12,acl-1,1,28,1,T09-C1,T09,C1,script_opposition,1,1,1,2,
P12,acl-1,1,28,1,T10-E2,T10,E2,validated_gtvh,14,1,1,2,
P12,acl-1,1,28,1,T11-A2,T11,A2,baseline,10,2,3,1,
P12,acl-1,1,28,1,T12-A1,T12,A1,baseline,18,2,4,2,
P12,acl-1,1,28,1,T13-C1,T13,C1,script_opposition,16,1,2,2,
P12,acl-1,1,28,1,T14-C1,T14,C1,script_opposition,6,1,2,2,
P12,acl-1,1,28,1,T15-A2,T15,A2,baseline,12,4,5,2,
P12,acl-1,1,28,1,T16-E1,T16,E1,validated_gtvh,4,2,4,2,
P12,acl-1,1,28,1,T17-A2,T17,A2,baseline,17,3,4,2,
P12,acl-1,1,28,1,T18-E2,T18,E2,validated_gtvh,20,1,4,1,
P12,acl-1,1,28,1,T19-A1,T19,A1,baseline,3,1,2,1,
P12,acl-1,1,28,1,T20-C2,T20,C2,script_opposition,15,1,1,1,
P13,acl-1,1,72,3,T01-A1,T01,A1,baseline,15,3,3,3,
P13,acl-1,1,72,3,T02-C1,T02,C1,script_opposition,3,2,1,2,"De grap is te lang, de aandacht gaat weg."
P13,acl-1,1,72,3,T03-A1,T03,A1,baseline,19,5,4,3,Mooie bondige grap
P13,acl-1,1,72,3,T04-A2,T04,A2,baseline,4,4,5,4,Leuke kwinkslag aan het einde.
P13,acl-1,1,72,3,T05-C2,T05,C2,script_opposition,9,3,3,3,
P13,acl-1,1,72,3,T06-A2,T06,A2,baseline,10,3,3,3,
P13,acl-1,1,72,3,T07-E1,T07,E1,validated_gtvh,13,2,2,2,
P13,acl-1,1,72,3,T08-A2,T08,A2,baseline,12,5,5,5,Mooie wending
P13,acl-1,1,72,3,T09-E2,T09,E2,validated_gtvh,17,4,4,4,
P13,acl-1,1,72,3,T10-C1,T10,C1,script_opposition,11,2,2,2,
P13,acl-1,1,72,3,T11-E1,T11,E1,validated_gtvh,5,3,3,2,Te lange tekst
P13,acl-1,1,72,3,T12-C2,T12,C2,script_opposition,7,1,4,1,
P13,acl-1,1,72,3,T13-E2,T13,E2,validated_gtvh,6,2,3,2,Te lang
P13,acl-1,1,72,3,T14-E2,T14,E2,validated_gtvh,1,2,2,4,Te losse fragmenten
P13,acl-1,1,72,3,T15-E1,T15,E1,validated_gtvh,18,4,4,4,Leuke draai aan het einde.
P13,acl-1,1,72,3,T16-A2,T16,A2,baseline,8,5,5,5,Leuke nadenken.
P13,acl-1,1,72,3,T17-E1,T17,E1,validated_gtvh,20,2,4,2,
P13,acl-1,1,72,3,T18-C1,T18,C1,script_opposition,14,2,2,2,
P13,acl-1,1,72,3,T19-C2,T19,C2,script_opposition,2,3,3,4,
P13,acl-1,1,72,3,T20-A1,T20,A1,baseline,16,4,2,2,
P14,acl-1,1,50,1,T01-E1,T01,E1,validated_gtvh,1,1,1,1,"daar maak je geen grapjes over, over beperkingen of ziektes van mensen"
P14,acl-1,1,50,1,T02-A1,T02,A1,baseline,4,2,2,3,
P14,acl-1,1,50,1,T03-E1,T03,E1,validated_gtvh,16,1,1,2,
P14,acl-1,1,50,1,T04-E2,T04,E2,validated_gtvh,6,1,1,3,Ik zie niet in wat hier een grap aan is
P14,acl-1,1,50,1,T05-A2,T05,A2,baseline,17,1,1,2,
P14,acl-1,1,50,1,T06-E2,T06,E2,validated_gtvh,8,1,1,1,
P14,acl-1,1,50,1,T07-C1,T07,C1,script_opposition,15,1,1,3,
P14,acl-1,1,50,1,T08-E2,T08,E2,validated_gtvh,20,1,1,2,
P14,acl-1,1,50,1,T09-C2,T09,C2,script_opposition,2,1,1,3,"Ik zie niet in wat de grap is, of wat er grappig aan is"
P14,acl-1,1,50,1,T10-A1,T10,A1,baseline,3,1,1,3,Ik vind het niet grappig
P14,acl-1,1,50,1,T11-C1,T11,C1,script_opposition,10,1,1,2,
P14,acl-1,1,50,1,T12-A2,T12,A2,baseline,19,1,2,2,
P14,acl-1,1,50,1,T13-C2,T13,C2,script_opposition,7,1,1,3,Ik zie niet wat de grap is
P14,acl-1,1,50,1,T14-C2,T14,C2,script_opposition,5,1,1,1,Ik snap de grap niet
P14,acl-1,1,50,1,T15-C1,T15,C1,script_opposition,9,1,1,3,
P14,acl-1,1,50,1,T16-E2,T16,E2,validated_gtvh,12,1,1,3,
P14,acl-1,1,50,1,T17-C1,T17,C1,script_opposition,11,1,1,2,
P14,acl-1,1,50,1,T18-A1,T18,A1,baseline,14,1,3,2,
P14,acl-1,1,50,1,T19-A2,T19,A2,baseline,18,2,3,3,
