study_version,group_id,group_title,variant_id,variant_role,text
pilot-1,G03,De zelfscankassa,G03-V03,wordplay,"Ik koos voor zelfscan uit zelfkennis. Niemand vergist zich zo persoonlijk als ik."
pilot-1,G03,De zelfscankassa,G03-V04,absurdist,"De kassa vroeg onverwacht om assistentie. We stonden samen te wachten op iemand die wist wie van ons de klant was."
pilot-1,G03,De zelfscankassa,G03-V05,social_critique,"De supermarkt schafte personeel af en gaf mij als beloning het vertrouwen dat ik gecontroleerd mocht worden."
pilot-1,G03,De zelfscankassa,G03-V06,narrative,"Ik scande brood en melk. Bij de avocado verscheen een medewerker alsof ik een financieel instrument had aangeraakt."
pilot-1,G03,De zelfscankassa,G03-V07,self_reflexive,"Ik schrijf deze grap zelf maar straks controleert een cabaretier steekproefsgewijs of hij wel grappig is."
pilot-1,G03,De zelfscankassa,G03-V08,linguistic_turn,"De kassa zei onbekend artikel. Dat voelde wederzijds want het artikel kende mij ook niet."
pilot-1,G04,Het digitale wachtwoord,G04-V01,baseline,"Mijn wachtwoord moest uniek zijn. De website kende mijn nieuwe wachtwoord alleen al van mijn vorige poging."
pilot-1,G04,Het digitale wachtwoord,G04-V02,concise,"Mijn wachtwoord is veilig opgeborgen op een plek waar zelfs ik geen toegang toe heb."
pilot-1,G04,Het digitale wachtwoord,G04-V03,wordplay,"Ik koos een sterk wachtwoord. Nu krijg ik het toetsenbord niet meer van tafel."
pilot-1,G04,Het digitale wachtwoord,G04-V04,absurdist,"Na drie mislukte pogingen vroeg de computer of ik een mens was. Ik vroeg of hij referenties nodig had."
pilot-1,G04,Het digitale wachtwoord,G04-V05,social_critique,"Digitalisering bespaart tijd zolang je de middag niet meetelt waarin je bewijst dat jij jezelf bent."
pilot-1,G04,Het digitale wachtwoord,G04-V06,narrative,"Ik veranderde mijn wachtwoord en schreef het nergens op. Vijf minuten later bewonderde ik de beveiliging van buitenaf."
pilot-1,G04,Het digitale wachtwoord,G04-V07,self_reflexive,"De clou van deze grap is versleuteld. Voor toegang ontvangt u binnen vijf werkdagen een code per post."
pilot-1,G04,Het digitale wachtwoord,G04-V08,linguistic_turn,"De site vroeg om een speciaal teken. Ik typte Hamlet maar dat bleek te dramatisch."
pilot-1,G05,De huisartsapp,G05-V01,baseline,"De huisartsapp vroeg mijn klachten in te voeren. Na twintig vragen had vooral de app behoefte aan een consult."
pilot-1,G05,De huisartsapp,G05-V02,concise,"De digitale dokter stelde me gerust: mijn foutmelding was niet levensbedreigend."
pilot-1,G05,De huisartsapp,G05-V03,wordplay,"Ik wilde een afspraak bij de praktijk maar de app vond mijn klacht niet praktisch genoeg."
pilot-1,G05,De huisartsapp,G05-V04,absurdist,"De app vroeg waar het pijn deed. Ik tikte op het scherm en kreeg meteen een afspraak voor mijn wijsvinger."
pilot-1,G05,De huisartsapp,G05-V05,social_critique,"De zorg wordt persoonlijker. Tegenwoordig wijst een algoritme je af met je voornaam erbij."
pilot-1,G05,De huisartsapp,G05-V06,narrative,"Ik beschreef hoofdpijn in het formulier. Na alle keuzemenu's had ik eindelijk een symptoom dat de app herkende."
pilot-1,G05,De huisartsapp,G05-V07,self_reflexive,"Deze grap geeft geen medisch advies maar adviseert wel dringend een betere grap te raadplegen."
pilot-1,G05,De huisartsapp,G05-V08,linguistic_turn,"De app vroeg of de klacht acuut was. Ik zei dat hij vooral een scherpe hoek had."
pilot-1,G06,De afvalscheiding,G06-V01,baseline,"Ik scheid mijn afval zo zorgvuldig dat mijn vuilniszakken inmiddels co-ouderschap hebben."
pilot-1,G06,De afvalscheiding,G06-V02,concise,"Mijn afval heeft een overzichtelijker toekomstplan dan ik."
pilot-1,G06,De afvalscheiding,G06-V03,wordplay,"Plastic gaat bij plastic. Mijn schuldgevoel blijkt helaas restafval."
pilot-1,G06,De afvalscheiding,G06-V04,absurdist,"De groene bak weigerde een komkommer omdat die emotioneel nog niet klaar was om compost te worden."
pilot-1,G06,De afvalscheiding,G06-V05,social_critique,"We redden de planeet door thuis zes bakken te beheren terwijl de verpakking uit zeven materialen bestaat."
pilot-1,G06,De afvalscheiding,G06-V06,narrative,"Ik stond met een koffiebeker bij de containers. Na tien minuten sorteren was de koffie koud en mijn geweten lauw."
pilot-1,G06,De afvalscheiding,G06-V07,self_reflexive,"Deze grap hoort bij oud papier maar ik hoop dat u hem nog één keer gebruikt."
pilot-1,G06,De afvalscheiding,G06-V08,linguistic_turn,"De gemeente noemt het bronscheiding. Ik heb nog nooit zo lang gezocht naar de bron van een yoghurtdeksel."
pilot-1,G07,De theaterpremière,G07-V01,baseline,"Bij de première applaudisseerde iedereen staand. De stoelen hadden als enigen hun recensie al gegeven."
pilot-1,G07,De theaterpremière,G07-V02,concise,"Het stuk duurde drie uur en ging vooral over volhouden."
pilot-1,G07,De theaterpremière,G07-V03,wordplay,"De acteur speelde met overtuiging. Het publiek speelde dat het overtuigd was."
pilot-1,G07,De theaterpremière,G07-V04,absurdist,"In de pauze bleek dat de garderobe het spannendste personage had: niemand wist waar mijn jas gebleven was."
pilot-1,G07,De theaterpremière,G07-V05,social_critique,"Cultuur is voor iedereen zolang iedereen vooraf weet welke vork bij de premièreborrel hoort."
pilot-1,G07,De theaterpremière,G07-V06,narrative,"De acteur vergat zijn tekst en keek het publiek aan. Voor het eerst die avond voelden we ons echt betrokken."
pilot-1,G07,De theaterpremière,G07-V07,self_reflexive,"Deze grap breekt de vierde wand maar heeft geen budget om hem daarna te herstellen."
pilot-1,G07,De theaterpremière,G07-V08,linguistic_turn,"De voorstelling was uitverkocht. Vooral het einde voelde verkocht."
pilot-1,G08,De familiedag,G08-V01,baseline,"Op de familiedag vroeg iedereen hoe het met me ging en gaf daarna zelf het antwoord."
pilot-1,G08,De familiedag,G08-V02,concise,"Familie is geschiedenis die je elk jaar opnieuw moet bijwonen."
pilot-1,G08,De familiedag,G08-V03,wordplay,"Mijn oom hield de familieband sterk door er de hele middag op te staan."
pilot-1,G08,De familiedag,G08-V04,absurdist,"We maakten een familiefoto. De camera activeerde uit zichzelf de functie voor conflictdetectie."
pilot-1,G08,De familiedag,G08-V05,social_critique,"Aan tafel was iedereen voor vrijheid van meningsuiting zolang die mening al in de familie zat."
pilot-1,G08,De familiedag,G08-V06,narrative,"Mijn tante vroeg waarom ik nog alleen was. Ik wees naar de lege stoel naast haar en vroeg hetzelfde over mijn oom."
pilot-1,G08,De familiedag,G08-V07,self_reflexive,"Ik vertel deze familiegrap voorzichtig want drie bijzinnen hebben dezelfde achternaam."
pilot-1,G08,De familiedag,G08-V08,linguistic_turn,"We noemen het een familiereünie. Dat klinkt vriendelijker dan periodiek feitenonderzoek."
pilot-1,G09,De kabinetsformatie,G09-V01,baseline,"De formatie zocht naar vertrouwen. Niemand wist meer in welk partijprogramma het voor het laatst was gezien."
pilot-1,G09,De kabinetsformatie,G09-V02,concise,"De politiek bereikte een akkoord over de noodzaak van een volgend overleg."
pilot-1,G09,De kabinetsformatie,G09-V03,wordplay,"De partijen kwamen nader tot elkaar door ieder een stap achteruit te zetten."
pilot-1,G09,De kabinetsformatie,G09-V04,absurdist,"Na zes maanden onderhandelen werd de vergadertafel beëdigd. Die had tenminste alle gesprekken doorstaan."
pilot-1,G09,De kabinetsformatie,G09-V05,social_critique,"De kiezer bepaalt de richting en daarna bepalen de partijen welke kant dat ongeveer geweest kan zijn."
pilot-1,G09,De kabinetsformatie,G09-V06,narrative,"De informateur zei dat er witte rook was. Het bleek de printer die het regeerakkoord niet langer aankon."
pilot-1,G09,De kabinetsformatie,G09-V07,self_reflexive,"Deze politieke grap zoekt nog een meerderheid maar heeft alvast twee bijzinnen afgesplitst."
pilot-1,G09,De kabinetsformatie,G09-V08,linguistic_turn,"Ze spraken over een werkbare meerderheid. De minderheid bleek opnieuw het meeste werk te doen."
pilot-1,G10,Het slimme horloge,G10-V01,baseline,"Mijn slimme horloge zegt dat ik moet bewegen. Het zit zelf al de hele dag op dezelfde pols."
pilot-1,G10,Het slimme horloge,G10-V02,concise,"Mijn horloge kent mijn hartslag maar vraagt nooit hoe het met me gaat."
pilot-1,G10,Het slimme horloge,G10-V03,wordplay,"Ik kocht een stappenteller. Nu telt elke stap als administratie."
pilot-1,G10,Het slimme horloge,G10-V04,absurdist,"Na tienduizend stappen feliciteerde mijn horloge zichzelf met onze prestatie."
pilot-1,G10,Het slimme horloge,G10-V05,social_critique,"Vroeger luisterde ik naar mijn lichaam. Nu wacht ik tot een Amerikaans bedrijf de melding doorstuurt."
pilot-1,G10,Het slimme horloge,G10-V06,narrative,"Tijdens een rustige avond waarschuwde mijn horloge voor stress. Ik schrok zo dat het eindelijk gelijk kreeg."
pilot-1,G10,Het slimme horloge,G10-V07,self_reflexive,"Deze grap heeft haar doel niet gehaald. Nog 320 woorden tot de dagelijkse clou."
pilot-1,G10,Het slimme horloge,G10-V08,linguistic_turn,"Het horloge meet mijn actieve minuten. Mijn passieve uren voelen zich structureel ondergewaardeerd."
pilot-1,G11,De woningbezichtiging,G11-V01,baseline,"De makelaar noemde het appartement compact. Ik kon vanuit de keuken tegelijk de voordeur openen en douchen."
pilot-1,G11,De woningbezichtiging,G11-V02,concise,"De woning had veel potentie en opvallend weinig inhoud."
pilot-1,G11,De woningbezichtiging,G11-V03,wordplay,"Het huis lag boven de vraagprijs en uiteindelijk ook boven mijn voorstellingsvermogen."
pilot-1,G11,De woningbezichtiging,G11-V04,absurdist,"De bezichtiging was zo druk dat het appartement na afloop zelf een groter huis ging zoeken."
pilot-1,G11,De woningbezichtiging,G11-V05,social_critique,"Een starter heet starter omdat wonen pas begint nadat je ouders de eerste helft hebben betaald."
pilot-1,G11,De woningbezichtiging,G11-V06,narrative,"Ik vroeg naar de tweede slaapkamer. De makelaar draaide de bureaustoel en zei dat we er nu waren."
pilot-1,G11,De woningbezichtiging,G11-V07,self_reflexive,"Deze grap heeft geen ruimte voor een clou maar de tussenwerpsels bieden boven de vraagprijs."
pilot-1,G11,De woningbezichtiging,G11-V08,linguistic_turn,"De advertentie beloofde karakter. Dat bleek makelaarstaal voor een vloer die antwoord geeft."
pilot-1,G12,De behulpzame chatbot,G12-V01,baseline,"De chatbot vroeg hoe hij kon helpen en stuurde me daarna naar een pagina over zelfredzaamheid."
pilot-1,G12,De behulpzame chatbot,G12-V02,concise,"De chatbot begreep mijn vraag volledig verkeerd maar wel onmiddellijk."
pilot-1,G12,De behulpzame chatbot,G12-V03,wordplay,"Ik vroeg om menselijk contact. De bot antwoordde dat contact een werkwoord was."
pilot-1,G12,De behulpzame chatbot,G12-V04,absurdist,"Na zeven keuzemenu's vroeg de chatbot of mijn probleem was opgelost. Ik wist niet meer welk probleem hij bedoelde."
pilot-1,G12,De behulpzame chatbot,G12-V05,social_critique,"Klantenservice wordt steeds persoonlijker: de computer gebruikt nu mijn voornaam terwijl hij me negeert."
pilot-1,G12,De behulpzame chatbot,G12-V06,narrative,"Ik typte medewerker. De chatbot wenste me veel succes en sloot het gesprek alsof ik ontslag had genomen."
pilot-1,G12,De behulpzame chatbot,G12-V07,self_reflexive,"Deze grap is automatisch gegenereerd. Voor menselijke humor toetst u nul en blijft u aan de lijn."
pilot-1,G12,De behulpzame chatbot,G12-V08,linguistic_turn,"De bot zei dat hij mijn frustratie begreep. Dat was knap want ik begon pas daarna."

